ID,Hora de inicio,Hora de finalización,Comentarios del cuestionario,¿Qué labor realiza principalmente?,Comentarios: ¿Qué labor realiza principalmente?,¿Cuántos años de experiencia tiene en el cultivo de palma? ,Comentarios: ¿Cuántos años de experiencia tiene en el cultivo de palma? ,¿Cómo se registra hoy lo que usted realiza en el día?,Comentarios: ¿Cómo se registra hoy lo que usted realiza en el día?,¿Cuál es la mayor dificultad en su trabajo diario?,Comentarios: ¿Cuál es la mayor dificultad en su trabajo diario?,¿Con qué frecuencia observa plagas o enfermedades en las palmas? ,Comentarios: ¿Con qué frecuencia observa plagas o enfermedades en las palmas? ,¿Usa teléfono inteligente (smartphone)?,Comentarios: ¿Usa teléfono inteligente (smartphone)?,¿Qué tan cómodo se siente usando aplicaciones en el teléfono? (escala 1 a 5) 1 = Nada cómodo  →  5 = Muy cómodo,Comentarios: ¿Qué tan cómodo se siente usando aplicaciones en el teléfono? (escala 1 a 5) 1 = Nada cómodo  →  5 = Muy cómodo,¿Hay señal de internet en las zonas donde usted trabaja?,Comentarios: ¿Hay señal de internet en las zonas donde usted trabaja?,"Para cada función, indique qué tan útil le parecería en una escala de 1 a 5 (1 = Nada útil → 5 = Muy útil). Tomar una foto de la palma y que la app le indique si tiene una plaga o enfermedad y qué...","Comentarios: Para cada función, indique qué tan útil le parecería en una escala de 1 a 5 (1 = Nada útil → 5 = Muy útil). Tomar una foto de la palma y que la app le indique si tiene una plaga o enfermedad y qué...",Indique qué tan útil le parecería en una escala de 1 a 5 (1 = Nada útil → 5 = Muy útil). Tomar una foto de la hoja y que la app le indique si a la planta le falta algún nutriente. ,Comentarios: Indique qué tan útil le parecería en una escala de 1 a 5 (1 = Nada útil → 5 = Muy útil). Tomar una foto de la hoja y que la app le indique si a la planta le falta algún nutriente. ,"Para cada función, indique qué tan útil le parecería en una escala de 1 a 5. Registrar en el teléfono las labores que realiza (riego, polinización, etc.)","Comentarios: Para cada función, indique qué tan útil le parecería en una escala de 1 a 5. Registrar en el teléfono las labores que realiza (riego, polinización, etc.)","Indique qué tan útil le parecería en una escala de 1 a 5 (1 = Nada útil → 5 = Muy útil). Que la app cuente automáticamente por GPS las flores polinizadas, sin tener que anotar planta por planta. ","Comentarios: Indique qué tan útil le parecería en una escala de 1 a 5 (1 = Nada útil → 5 = Muy útil). Que la app cuente automáticamente por GPS las flores polinizadas, sin tener que anotar planta por planta. ",Indique qué tan útil le parecería en una escala de 1 a 5 (1 = Nada útil → 5 = Muy útil). Recibir alertas cuando se detecte un problema en el cultivo,Comentarios: Indique qué tan útil le parecería en una escala de 1 a 5 (1 = Nada útil → 5 = Muy útil). Recibir alertas cuando se detecte un problema en el cultivo, ¿Le preocuparía que la aplicación registre por GPS su recorrido durante la jornada? ,Comentarios:  ¿Le preocuparía que la aplicación registre por GPS su recorrido durante la jornada? ,"Si la aplicación fuera fácil de usar y estuviera en español, ¿la usaría en su trabajo?","Comentarios: Si la aplicación fuera fácil de usar y estuviera en español, ¿la usaría en su trabajo?"
13,2026-08-01 20:45:56,2026-08-01 20:46:45,,Control fitosanitario (plagas y enfermedades),,Más de 10 años,,En papel,,Detectar plagas o enfermedades a tiempo;,,Frecuentemente,,si,,3,,Casi nunca,,5,,5,,3,,4,,5,,Me preocupa mucho,,Tal vez,
14,2026-08-01 20:46:47,2026-08-01 20:47:23,,"Labores de mantenimiento (chapía, corona, poda)",,De 1 a 5 años,,El administrador lo anota,,El clima;,,Rara vez,,no,,2,,Nunca,,3,,3,,2,,2,,3,,No me preocupa,,No,
15,2026-08-01 20:47:33,2026-08-01 20:48:22,,Riego,,Menos de 1 año,,No se registra,,La comunicación con el administrador;,,A veces,,si,, 5,,Siempre,,5,,5,,5,,5,,5,,No me preocupa,,Sí,
16,2026-08-01 20:48:29,2026-08-01 20:49:12,,Polinización,,De 6 a 10 años,,En papel,,Llevar la cuenta de lo que realizo;,,Frecuentemente,,si,,4,,A veces,,5,,5,,5,,5,,5,,Me preocupa un poco,,Sí,
17,2026-08-01 20:49:21,2026-08-01 20:50:00,,Otra,,Más de 10 años,,Otro,,Otra;,,A veces,,si,,3,,Casi nunca,,4,,4,,4,,3,,4,,Me preocupa mucho,,Tal vez,
18,2026-08-01 20:50:05,2026-08-01 20:50:43,,Control fitosanitario (plagas y enfermedades),,De 1 a 5 años,,En papel,,Detectar plagas o enfermedades a tiempo;,,Muy frecuentemente,,si,,4,,A veces,,5,,5,,4,,4,,5,,No me preocupa,,Sí,
19,2026-08-01 20:50:51,2026-08-01 20:51:40,,"Labores de mantenimiento (chapía, corona, poda)",,De 6 a 10 años,,El administrador lo anota,,El clima;,,Rara vez,,si,,3,,A veces,,4,,3,,3,,3,,4,,Me preocupa un poco,,Sí,
20,2026-08-01 20:51:42,2026-08-01 20:52:18,,Polinización,,Más de 10 años,,En papel,,Llevar la cuenta de lo que realizo;,,Frecuentemente,,no,,2,,Casi nunca,,4,,4,,2,,3,,4,,Me preocupa mucho,,Tal vez,
21,2026-08-01 20:52:22,2026-08-01 20:52:55,,Riego,,De 1 a 5 años,,No se registra,,La comunicación con el administrador;,,A veces,,si,, 5,,Siempre,,5,,5,,5,,5,,5,,No me preocupa,,Sí,
22,2026-08-01 20:53:02,2026-08-01 20:53:40,,Control fitosanitario (plagas y enfermedades),,De 6 a 10 años,,En papel,,Saber qué producto aplicar;,,Frecuentemente,,si,,4,,A veces,,5,,5,,4,,4,,5,,Me preocupa un poco,,Sí,
23,2026-08-01 20:53:45,2026-08-01 20:54:19,,"Labores de mantenimiento (chapía, corona, poda)",,De 1 a 5 años,,El administrador lo anota,,El clima;,,Rara vez,,si,,3,,A veces,,4,,4,,4,,3,,4,,No me preocupa,,Sí,
24,2026-08-01 20:54:27,2026-08-01 20:55:03,,Polinización,,Menos de 1 año,,No se registra,,Llevar la cuenta de lo que realizo;,,A veces,,si,, 5,,Siempre,,5,,5,,5,,5,,5,,No me preocupa,,Sí,
25,2026-08-01 20:55:05,2026-08-01 20:55:58,,Control fitosanitario (plagas y enfermedades),,Más de 10 años,,En papel,,Detectar plagas o enfermedades a tiempo;,,Muy frecuentemente,,si,,2,,Casi nunca,,5,,5,,3,,4,,5,,Me preocupa mucho,,Tal vez,
26,2026-08-01 20:56:01,2026-08-01 20:56:39,,Riego,,De 6 a 10 años,,El administrador lo anota,,El clima;,,Rara vez,,si,,4,,A veces,,4,,4,,4,,4,,4,,Me preocupa un poco,,Sí,
27,2026-08-01 20:56:42,2026-08-01 20:57:12,,"Labores de mantenimiento (chapía, corona, poda)",,De 1 a 5 años,,En papel,,La comunicación con el administrador;,,A veces,,si,,4,,A veces,,5,,4,,5,,4,,5,,No me preocupa,,Sí,
28,2026-08-02 12:36:41,2026-08-02 12:40:59,,Polinización,,De 1 a 5 años,,En papel,,Detectar plagas o enfermedades a tiempo;El clima;,,Rara vez,,si,,3,,Siempre,,5,,5,,5,,3,,3,,No me preocupa,,Tal vez,
29,2026-08-02 12:41:05,2026-08-02 12:42:46,,Polinización,,Menos de 1 año,,En papel,,Detectar plagas o enfermedades a tiempo;Otra;,,Rara vez,,si,,2,,A veces,,3,,3,,4,,3,,4,,Me preocupa un poco,,Tal vez,
30,2026-08-02 12:42:48,2026-08-02 12:43:49,,Control fitosanitario (plagas y enfermedades),,Menos de 1 año,,El administrador lo anota,,Saber qué producto aplicar;El clima;,,Frecuentemente,,si,, 5,,Siempre,,5,,5,,5,,5,,5,,No me preocupa,,Sí,
31,2026-08-02 12:43:51,2026-08-02 12:47:53,,Polinización,,De 1 a 5 años,,En papel,,Detectar plagas o enfermedades a tiempo;,,Nunca,,no,,1,,A veces,,4,,2,,2,,1,,1,,No me preocupa,,No,
32,2026-08-02 12:47:56,2026-08-02 12:48:45,,Control fitosanitario (plagas y enfermedades),,Menos de 1 año,,En papel,,Detectar plagas o enfermedades a tiempo;El clima;,,Frecuentemente,,si,,3,,A veces,,3,,3,,3,,3,,3,,No me preocupa,,Sí,
33,2026-08-02 12:48:48,2026-08-02 12:50:07,,"Labores de mantenimiento (chapía, corona, poda)",,De 1 a 5 años,,En papel,,El clima;Otra;,,Frecuentemente,,si,,4,,Siempre,,4,,4,,4,,3,,4,,No me preocupa,,Sí,
34,2026-08-02 12:50:11,2026-08-02 12:54:33,,Polinización,,De 1 a 5 años,,En papel,,Saber qué producto aplicar;Llevar la cuenta de lo que realizo;Otra;,,A veces,,si,,2,,Siempre,,3,,4,,5,,5,,4,,Me preocupa un poco,,Sí,
35,2026-08-02 12:54:36,2026-08-02 13:01:37,,"Labores de mantenimiento (chapía, corona, poda)",,Menos de 1 año,,En papel,,El clima;Llevar la cuenta de lo que realizo;La comunicación con el administrador;,,Frecuentemente,,si,, 5,,Siempre,,4,,4,,4,,4,,4,,No me preocupa,,Sí,
36,2026-08-02 13:01:39,2026-08-02 13:02:11,,Riego,,De 1 a 5 años,,En papel,,Detectar plagas o enfermedades a tiempo;Llevar la cuenta de lo que realizo;El clima;,,Rara vez,,si,, 5,,Siempre,,5,,5,,5,,5,,5,,Me preocupa mucho,,Sí,
37,2026-08-02 13:02:31,2026-08-02 13:03:10,,Control fitosanitario (plagas y enfermedades),,De 1 a 5 años,,En papel,,Detectar plagas o enfermedades a tiempo;,,A veces,,si,, 5,,Siempre,,3,,3,,3,,3,,4,,No me preocupa,,Sí,
38,2026-08-02 13:03:12,2026-08-02 13:04:01,,Riego,,Menos de 1 año,,En papel,,El clima;Otra;,,A veces,,si,, 5,,A veces,,3,,3,,3,,3,,3,,No me preocupa,,Sí,
39,2026-08-02 13:04:05,2026-08-02 13:04:47,,Polinización,,De 1 a 5 años,,En papel,,El clima;Otra;,,Frecuentemente,,si,,3,,Siempre,,3,,4,,5,,3,,5,,No me preocupa,,Sí,
40,2026-08-02 13:04:49,2026-08-02 13:05:27,,Control fitosanitario (plagas y enfermedades),,Menos de 1 año,,En papel,,Saber qué producto aplicar;Detectar plagas o enfermedades a tiempo;El clima;Otra;,,A veces,,si,, 5,,Siempre,,5,,5,,5,,5,,5,,No me preocupa,,Sí,
41,2026-08-02 13:10:01,2026-08-02 13:10:24,,Riego,,De 1 a 5 años,,En papel,,Detectar plagas o enfermedades a tiempo;Saber qué producto aplicar;,,Rara vez,,si,,3,,Siempre,,3,,3,,3,,3,,3,,No me preocupa,,Sí,
42,2026-08-02 13:10:26,2026-08-02 13:10:59,,Polinización,,De 1 a 5 años,,En papel,,Detectar plagas o enfermedades a tiempo;Otra;,,Nunca,,si,,1,,A veces,,1,,1,,1,,1,,3,,No me preocupa,,Sí,
43,2026-08-02 13:11:23,2026-08-02 13:11:50,,Polinización,,Menos de 1 año,,En papel,,Detectar plagas o enfermedades a tiempo;Otra;,,A veces,,si,, 5,,Siempre,,5,,5,,5,,5,,5,,Me preocupa un poco,,Sí,
44,2026-08-02 13:11:56,2026-08-02 13:12:24,,Riego,,Menos de 1 año,,En papel,,El clima;Otra;,,A veces,,si,, 5,,Siempre,,3,,3,,3,,3,,3,,No me preocupa,,Sí,
45,2026-08-02 13:14:35,2026-08-02 13:15:59,,Control fitosanitario (plagas y enfermedades),,Menos de 1 año,,En papel,,Detectar plagas o enfermedades a tiempo;Saber qué producto aplicar;,,Frecuentemente,,si,,4,,A veces,,5,,5,,5,,5,,5,,No me preocupa,,Sí,
46,2026-08-02 13:16:33,2026-08-02 13:17:23,,Polinización,,De 1 a 5 años,,En papel,,Llevar la cuenta de lo que realizo;,,A veces,,si,,3,,Casi nunca,,5,,5,,5,,5,,5,,No me preocupa,,Sí,
47,2026-08-02 13:17:36,2026-08-02 13:18:14,,Riego,,De 1 a 5 años,,En papel,,Saber qué producto aplicar;,,A veces,,si,, 5,,Casi nunca,,5,,5,,5,,5,,5,,No me preocupa,,Sí,
48,2026-08-02 15:16:56,2026-08-02 15:18:11,,Control fitosanitario (plagas y enfermedades),,De 6 a 10 años,,En papel,,Detectar plagas o enfermedades a tiempo;,,Frecuentemente,,si,, 5,,A veces,,4,,5,,3,,3,,5,,No me preocupa,,Sí,
49,2026-08-02 15:18:14,2026-08-02 15:19:01,,Riego,,De 1 a 5 años,,El administrador lo anota,,El clima;,,Rara vez,,si,, 5,,A veces,,4,,4,,4,,4,,4,,No me preocupa,,Sí,
50,2026-08-02 15:19:04,2026-08-02 15:20:13,,"Labores de mantenimiento (chapía, corona, poda)",,De 6 a 10 años,,El administrador lo anota,,Detectar plagas o enfermedades a tiempo;Saber qué producto aplicar;,,A veces,,si,, 5,,A veces,,4,,4,,4,,4,,4,,Me preocupa un poco,,Sí,
51,2026-08-02 15:21:31,2026-08-02 15:22:11,,Riego,,Menos de 1 año,,En papel,,El clima;,,A veces,,si,, 5,,A veces,,4,,3,,5,,4,,5,,No me preocupa,,Sí,
52,2026-08-02 15:20:15,2026-08-02 15:22:43,,"Labores de mantenimiento (chapía, corona, poda)",,Menos de 1 año,,En papel,,Llevar la cuenta de lo que realizo;,,Frecuentemente,,si,,3,,Casi nunca,,5,,5,,5,,5,,5,,No me preocupa,,Sí,
53,2026-08-02 15:22:13,2026-08-02 15:22:52,,Polinización,,De 6 a 10 años,,El administrador lo anota,,Detectar plagas o enfermedades a tiempo;Llevar la cuenta de lo que realizo;,,A veces,,si,,4,,A veces,,5,,5,,5,,5,,5,,No me preocupa,,Sí,
54,2026-08-02 15:22:54,2026-08-02 15:23:22,,Control fitosanitario (plagas y enfermedades),,De 6 a 10 años,,En papel,,Detectar plagas o enfermedades a tiempo;,,Frecuentemente,,si,, 5,,A veces,,5,,4,,4,,5,,5,,No me preocupa,,Sí,
55,2026-08-02 15:23:24,2026-08-02 15:23:52,,Control fitosanitario (plagas y enfermedades),,De 6 a 10 años,,En papel,,Detectar plagas o enfermedades a tiempo;,,Frecuentemente,,si,, 5,,A veces,,4,,3,,3,,4,,4,,No me preocupa,,Sí,
56,2026-08-02 15:24:06,2026-08-02 15:24:35,,Polinización,,De 6 a 10 años,,No se registra,,El clima;,,Rara vez,,si,,4,,A veces,,4,,3,,3,,4,,5,,No me preocupa,,Sí,
57,2026-08-02 15:24:37,2026-08-02 15:25:06,,Control fitosanitario (plagas y enfermedades),,De 6 a 10 años,,El administrador lo anota,,Detectar plagas o enfermedades a tiempo;Saber qué producto aplicar;,,Muy frecuentemente,,no,,4,,A veces,,5,,5,,3,,4,,5,,No me preocupa,,Sí,
58,2026-08-02 15:22:48,2026-08-02 15:25:29,,Otra,,De 1 a 5 años,,El administrador lo anota,,El clima;,,Frecuentemente,,si,, 5,,Casi nunca,,5,,5,,5,,5,,5,,No me preocupa,,Sí,
59,2026-08-02 15:25:35,2026-08-02 15:26:43,,"Labores de mantenimiento (chapía, corona, poda)",,De 1 a 5 años,,En papel,,Llevar la cuenta de lo que realizo;,,Frecuentemente,,si,, 5,,Casi nunca,,5,,5,,5,,5,,5,,No me preocupa,,Sí,
60,2026-08-02 15:26:42,2026-08-02 15:27:19,,Control fitosanitario (plagas y enfermedades),,De 6 a 10 años,,En papel,,Detectar plagas o enfermedades a tiempo;,,Frecuentemente,,si,, 5,,A veces,,5,,4,,3,,3,,4,,No me preocupa,,Sí,
61,2026-08-02 15:27:20,2026-08-02 15:27:55,,Control fitosanitario (plagas y enfermedades),,Más de 10 años,,El administrador lo anota,,Detectar plagas o enfermedades a tiempo;El clima;,,Frecuentemente,,si,, 5,,A veces,,5,,4,,3,,4,,4,,No me preocupa,,Sí,
62,2026-08-02 15:27:08,2026-08-02 15:28:16,,Polinización,,De 1 a 5 años,,En papel,,Saber qué producto aplicar;,,Frecuentemente,,si,,4,,Casi nunca,,5,,5,,5,,5,,5,,No me preocupa,,Sí,
