evaluador,requisito,origen,id_original,dimension,puntuacion,orden
EV-01,R-016,Humano,H-011,AMB,4,16
EV-01,R-016,Humano,H-011,VER,4,16
EV-01,R-016,Humano,H-011,COR,4,16
EV-01,R-016,Humano,H-011,CON,4,16
EV-01,R-017,Humano,H-018,COM,3,17
EV-01,R-017,Humano,H-018,AMB,3,17
EV-01,R-017,Humano,H-018,VER,3,17
EV-01,R-017,Humano,H-018,COR,3,17
EV-01,R-017,Humano,H-018,CON,3,17
EV-01,R-018,LLM,LLM-008,COM,5,18
EV-01,R-018,LLM,LLM-008,AMB,5,18
EV-01,R-018,LLM,LLM-008,VER,5,18
EV-01,R-018,LLM,LLM-008,COR,5,18
EV-01,R-018,LLM,LLM-008,CON,5,18
EV-01,R-019,LLM,LLM-002,COM,4,19
EV-01,R-019,LLM,LLM-002,AMB,4,19
EV-01,R-019,LLM,LLM-002,VER,4,19
EV-01,R-019,LLM,LLM-002,COR,4,19
EV-01,R-019,LLM,LLM-002,CON,4,19
EV-01,R-020,Humano,H-019,COM,5,20
EV-01,R-020,Humano,H-019,AMB,5,20
EV-01,R-020,Humano,H-019,VER,5,20
EV-01,R-020,Humano,H-019,COR,5,20
EV-01,R-020,Humano,H-019,CON,5,20
EV-01,R-021,Humano,H-023,COM,4,21
EV-01,R-021,Humano,H-023,AMB,4,21
EV-01,R-021,Humano,H-023,VER,4,21
EV-01,R-021,Humano,H-023,COR,4,21
EV-01,R-021,Humano,H-023,CON,4,21
EV-01,R-022,LLM,LLM-021,COM,3,22
EV-01,R-022,LLM,LLM-021,AMB,3,22
EV-01,R-022,LLM,LLM-021,VER,3,22
EV-01,R-022,LLM,LLM-021,COR,3,22
EV-01,R-022,LLM,LLM-021,CON,3,22
EV-01,R-023,LLM,LLM-009,COM,5,23
EV-01,R-023,LLM,LLM-009,AMB,5,23
EV-01,R-023,LLM,LLM-009,VER,5,23
EV-01,R-023,LLM,LLM-009,COR,5,23
EV-01,R-023,LLM,LLM-009,CON,5,23
EV-01,R-024,Humano,H-003,COM,4,24
EV-01,R-024,Humano,H-003,AMB,4,24
EV-01,R-024,Humano,H-003,VER,4,24
EV-01,R-024,Humano,H-003,COR,4,24
EV-01,R-024,Humano,H-003,CON,4,24
EV-01,R-025,LLM,LLM-011,COM,5,25
EV-01,R-025,LLM,LLM-011,AMB,5,25
EV-01,R-025,LLM,LLM-011,VER,5,25
EV-01,R-025,LLM,LLM-011,COR,5,25
EV-01,R-025,LLM,LLM-011,CON,5,25
EV-01,R-026,Humano,H-016,COM,4,26
EV-01,R-026,Humano,H-016,AMB,4,26
EV-01,R-026,Humano,H-016,VER,4,26
EV-01,R-026,Humano,H-016,COR,4,26
EV-01,R-026,Humano,H-016,CON,4,26
EV-01,R-027,LLM,LLM-010,COM,3,27
EV-01,R-027,LLM,LLM-010,AMB,3,27
EV-01,R-027,LLM,LLM-010,VER,3,27
EV-01,R-027,LLM,LLM-010,COR,3,27
EV-01,R-027,LLM,LLM-010,CON,3,27
EV-01,R-028,Humano,H-017,COM,5,28
EV-01,R-028,Humano,H-017,AMB,5,28
EV-01,R-028,Humano,H-017,VER,5,28
EV-01,R-028,Humano,H-017,COR,5,28
EV-01,R-028,Humano,H-017,CON,5,28
EV-01,R-029,Humano,H-015,COM,4,29
EV-01,R-029,Humano,H-015,AMB,4,29
EV-01,R-029,Humano,H-015,VER,4,29
EV-01,R-029,Humano,H-015,COR,4,29
EV-01,R-029,Humano,H-015,CON,4,29
EV-01,R-030,LLM,LLM-020,COM,5,30
EV-01,R-030,LLM,LLM-020,AMB,5,30
EV-01,R-030,LLM,LLM-020,VER,5,30
EV-01,R-030,LLM,LLM-020,COR,5,30
EV-01,R-030,LLM,LLM-020,CON,5,30
EV-01,R-031,LLM,LLM-001,COM,4,31
EV-01,R-031,LLM,LLM-001,AMB,4,31
EV-01,R-031,LLM,LLM-001,VER,4,31
EV-01,R-031,LLM,LLM-001,COR,4,31
EV-01,R-031,LLM,LLM-001,CON,4,31
EV-01,R-032,LLM,LLM-018,COM,3,32
EV-01,R-032,LLM,LLM-018,AMB,3,32
EV-01,R-032,LLM,LLM-018,VER,3,32
EV-01,R-032,LLM,LLM-018,COR,3,32
EV-01,R-032,LLM,LLM-018,CON,3,32
EV-01,R-033,Humano,H-022,COM,5,33
EV-01,R-033,Humano,H-022,AMB,5,33
EV-01,R-033,Humano,H-022,VER,5,33
EV-01,R-033,Humano,H-022,COR,5,33
EV-01,R-033,Humano,H-022,CON,5,33
EV-01,R-034,Humano,H-005,COM,4,34
EV-01,R-034,Humano,H-005,AMB,4,34
EV-01,R-034,Humano,H-005,VER,4,34
EV-01,R-034,Humano,H-005,COR,4,34
EV-01,R-034,Humano,H-005,CON,4,34
EV-01,R-035,LLM,LLM-025,COM,5,35
EV-01,R-035,LLM,LLM-025,AMB,5,35
EV-01,R-035,LLM,LLM-025,VER,5,35
EV-01,R-035,LLM,LLM-025,COR,5,35
EV-01,R-035,LLM,LLM-025,CON,5,35
EV-01,R-036,LLM,LLM-004,COM,4,36
EV-01,R-036,LLM,LLM-004,AMB,4,36
EV-01,R-036,LLM,LLM-004,VER,4,36
EV-01,R-036,LLM,LLM-004,COR,4,36
EV-01,R-036,LLM,LLM-004,CON,4,36
EV-01,R-037,LLM,LLM-007,COM,3,37
EV-01,R-037,LLM,LLM-007,AMB,3,37
EV-01,R-037,LLM,LLM-007,VER,3,37
EV-01,R-037,LLM,LLM-007,COR,3,37
EV-01,R-037,LLM,LLM-007,CON,3,37
EV-01,R-038,LLM,LLM-024,COM,5,38
EV-01,R-038,LLM,LLM-024,AMB,5,38
EV-01,R-038,LLM,LLM-024,VER,5,38
EV-01,R-038,LLM,LLM-024,COR,5,38
EV-01,R-038,LLM,LLM-024,CON,5,38
EV-01,R-039,Humano,H-013,COM,4,39
EV-01,R-039,Humano,H-013,AMB,4,39
EV-01,R-039,Humano,H-013,VER,4,39
EV-01,R-039,Humano,H-013,COR,4,39
EV-01,R-039,Humano,H-013,CON,4,39
EV-01,R-040,Humano,H-006,COM,5,40
EV-01,R-040,Humano,H-006,AMB,5,40
EV-01,R-040,Humano,H-006,VER,5,40
EV-01,R-040,Humano,H-006,COR,5,40
EV-01,R-040,Humano,H-006,CON,5,40
EV-01,R-041,LLM,LLM-006,COM,4,41
EV-01,R-041,LLM,LLM-006,AMB,4,41
EV-01,R-041,LLM,LLM-006,VER,4,41
EV-01,R-041,LLM,LLM-006,COR,4,41
EV-01,R-041,LLM,LLM-006,CON,4,41
EV-01,R-042,LLM,LLM-014,COM,3,42
EV-01,R-042,LLM,LLM-014,AMB,3,42
EV-01,R-042,LLM,LLM-014,VER,3,42
EV-01,R-042,LLM,LLM-014,COR,3,42
EV-01,R-042,LLM,LLM-014,CON,3,42
EV-01,R-043,LLM,LLM-012,COM,5,43
EV-01,R-043,LLM,LLM-012,AMB,5,43
EV-01,R-043,LLM,LLM-012,VER,5,43
EV-01,R-043,LLM,LLM-012,COR,5,43
EV-01,R-043,LLM,LLM-012,CON,5,43
EV-01,R-044,LLM,LLM-015,COM,4,44
EV-01,R-044,LLM,LLM-015,AMB,4,44
EV-01,R-044,LLM,LLM-015,VER,4,44
EV-01,R-044,LLM,LLM-015,COR,4,44
EV-01,R-044,LLM,LLM-015,CON,4,44
EV-01,R-045,Humano,H-002,COM,5,45
EV-01,R-045,Humano,H-002,AMB,5,45
EV-01,R-045,Humano,H-002,VER,5,45
EV-01,R-045,Humano,H-002,COR,5,45
EV-01,R-045,Humano,H-002,CON,5,45
EV-01,R-046,Humano,H-008,COM,4,46
EV-01,R-046,Humano,H-008,AMB,4,46
EV-01,R-046,Humano,H-008,VER,4,46
EV-01,R-046,Humano,H-008,COR,4,46
EV-01,R-046,Humano,H-008,CON,4,46
EV-01,R-047,Humano,H-014,COM,3,47
EV-01,R-047,Humano,H-014,AMB,3,47
EV-01,R-047,Humano,H-014,VER,3,47
EV-01,R-047,Humano,H-014,COR,3,47
EV-01,R-047,Humano,H-014,CON,3,47
EV-01,R-048,LLM,LLM-003,COM,5,48
EV-01,R-048,LLM,LLM-003,AMB,5,48
EV-01,R-048,LLM,LLM-003,VER,5,48
EV-01,R-048,LLM,LLM-003,COR,5,48
EV-01,R-048,LLM,LLM-003,CON,5,48
EV-01,R-049,LLM,LLM-019,COM,4,49
EV-01,R-049,LLM,LLM-019,AMB,4,49
EV-01,R-049,LLM,LLM-019,VER,4,49
EV-01,R-049,LLM,LLM-019,COR,4,49
EV-01,R-049,LLM,LLM-019,CON,4,49
EV-01,R-050,Humano,H-004,COM,5,50
EV-01,R-050,Humano,H-004,AMB,5,50
EV-01,R-050,Humano,H-004,VER,5,50
EV-01,R-050,Humano,H-004,COR,5,50
EV-01,R-050,Humano,H-004,CON,5,50
EV-02,R-001,LLM,LLM-017,COM,5,1
EV-02,R-001,LLM,LLM-017,AMB,5,1
EV-02,R-001,LLM,LLM-017,VER,4,1
EV-02,R-001,LLM,LLM-017,COR,5,1
EV-02,R-001,LLM,LLM-017,CON,5,1
EV-02,R-002,Humano,H-007,COM,4,2
EV-02,R-002,Humano,H-007,AMB,5,2
EV-02,R-002,Humano,H-007,VER,5,2
EV-02,R-002,Humano,H-007,COR,4,2
EV-02,R-002,Humano,H-007,CON,4,2
EV-02,R-003,Humano,H-010,COM,4,3
EV-02,R-003,Humano,H-010,AMB,4,3
EV-02,R-003,Humano,H-010,VER,4,3
EV-02,R-003,Humano,H-010,COR,4,3
EV-02,R-003,Humano,H-010,CON,4,3
EV-02,R-004,Humano,H-009,COM,5,4
EV-02,R-004,Humano,H-009,AMB,5,4
EV-02,R-004,Humano,H-009,VER,5,4
EV-02,R-004,Humano,H-009,COR,5,4
EV-02,R-004,Humano,H-009,CON,5,4
EV-02,R-005,Humano,H-001,COM,4,5
EV-02,R-005,Humano,H-001,AMB,4,5
EV-02,R-005,Humano,H-001,VER,4,5
EV-02,R-005,Humano,H-001,COR,4,5
EV-02,R-005,Humano,H-001,CON,4,5
EV-02,R-006,LLM,LLM-023,COM,5,6
EV-02,R-006,LLM,LLM-023,AMB,5,6
EV-02,R-006,LLM,LLM-023,VER,5,6
EV-02,R-006,LLM,LLM-023,COR,5,6
EV-02,R-006,LLM,LLM-023,CON,5,6
EV-02,R-007,Humano,H-021,COM,4,7
EV-02,R-007,Humano,H-021,AMB,4,7
EV-02,R-007,Humano,H-021,VER,4,7
EV-02,R-007,Humano,H-021,COR,4,7
EV-02,R-007,Humano,H-021,CON,4,7
EV-02,R-008,Humano,H-020,COM,5,8
EV-02,R-008,Humano,H-020,AMB,5,8
EV-02,R-008,Humano,H-020,VER,5,8
EV-02,R-008,Humano,H-020,COR,5,8
EV-02,R-008,Humano,H-020,CON,5,8
EV-02,R-009,LLM,LLM-016,COM,4,9
EV-02,R-009,LLM,LLM-016,AMB,4,9
EV-02,R-009,LLM,LLM-016,VER,4,9
EV-02,R-009,LLM,LLM-016,COR,4,9
EV-02,R-009,LLM,LLM-016,CON,4,9
EV-02,R-010,LLM,LLM-005,COM,5,10
EV-02,R-010,LLM,LLM-005,AMB,5,10
EV-02,R-010,LLM,LLM-005,VER,5,10
EV-02,R-010,LLM,LLM-005,COR,5,10
EV-02,R-010,LLM,LLM-005,CON,5,10
EV-02,R-011,Humano,H-025,COM,4,11
EV-02,R-011,Humano,H-025,AMB,4,11
EV-02,R-011,Humano,H-025,VER,4,11
EV-02,R-011,Humano,H-025,COR,4,11
EV-02,R-011,Humano,H-025,CON,4,11
EV-02,R-012,LLM,LLM-022,COM,5,12
EV-02,R-012,LLM,LLM-022,AMB,5,12
EV-02,R-012,LLM,LLM-022,VER,5,12
EV-02,R-012,LLM,LLM-022,COR,5,12
EV-02,R-012,LLM,LLM-022,CON,5,12
EV-02,R-013,LLM,LLM-013,COM,4,13
EV-02,R-013,LLM,LLM-013,AMB,4,13
EV-02,R-013,LLM,LLM-013,VER,4,13
EV-02,R-013,LLM,LLM-013,COR,4,13
EV-02,R-013,LLM,LLM-013,CON,4,13
EV-02,R-014,Humano,H-012,COM,5,14
EV-02,R-014,Humano,H-012,AMB,5,14
EV-02,R-014,Humano,H-012,VER,5,14
EV-02,R-014,Humano,H-012,COR,5,14
EV-02,R-014,Humano,H-012,CON,5,14
EV-02,R-015,Humano,H-024,COM,4,15
EV-02,R-015,Humano,H-024,AMB,4,15
EV-02,R-015,Humano,H-024,VER,4,15
EV-02,R-015,Humano,H-024,COR,4,15
EV-02,R-015,Humano,H-024,CON,4,15
EV-02,R-016,Humano,H-011,COM,5,16
EV-02,R-016,Humano,H-011,AMB,5,16
EV-02,R-016,Humano,H-011,VER,5,16
EV-02,R-016,Humano,H-011,COR,5,16
EV-02,R-016,Humano,H-011,CON,5,16
EV-02,R-017,Humano,H-018,COM,4,17
EV-02,R-017,Humano,H-018,AMB,4,17
EV-02,R-017,Humano,H-018,VER,4,17
EV-02,R-017,Humano,H-018,COR,4,17
EV-02,R-017,Humano,H-018,CON,4,17
EV-02,R-018,LLM,LLM-008,COM,5,18
EV-02,R-018,LLM,LLM-008,AMB,5,18
EV-02,R-018,LLM,LLM-008,VER,5,18
EV-02,R-018,LLM,LLM-008,COR,5,18
EV-02,R-018,LLM,LLM-008,CON,5,18
EV-02,R-019,LLM,LLM-002,COM,4,19
EV-02,R-019,LLM,LLM-002,AMB,4,19
EV-02,R-019,LLM,LLM-002,VER,4,19
EV-02,R-019,LLM,LLM-002,COR,4,19
EV-02,R-019,LLM,LLM-002,CON,4,19
EV-02,R-020,Humano,H-019,COM,5,20
EV-02,R-020,Humano,H-019,AMB,5,20
EV-02,R-020,Humano,H-019,VER,5,20
EV-02,R-020,Humano,H-019,COR,5,20
EV-02,R-020,Humano,H-019,CON,5,20
EV-02,R-021,Humano,H-023,COM,4,21
EV-02,R-021,Humano,H-023,AMB,4,21
EV-02,R-021,Humano,H-023,VER,4,21
EV-02,R-021,Humano,H-023,COR,4,21
EV-02,R-021,Humano,H-023,CON,4,21
EV-02,R-022,LLM,LLM-021,COM,5,22
EV-02,R-022,LLM,LLM-021,AMB,5,22
EV-02,R-022,LLM,LLM-021,VER,5,22
EV-02,R-022,LLM,LLM-021,COR,5,22
EV-02,R-022,LLM,LLM-021,CON,5,22
EV-02,R-023,LLM,LLM-009,COM,4,23
EV-02,R-023,LLM,LLM-009,AMB,4,23
EV-02,R-023,LLM,LLM-009,VER,4,23
EV-02,R-023,LLM,LLM-009,COR,4,23
EV-02,R-023,LLM,LLM-009,CON,4,23
EV-02,R-024,Humano,H-003,COM,5,24
EV-02,R-024,Humano,H-003,AMB,5,24
EV-02,R-024,Humano,H-003,VER,5,24
EV-02,R-024,Humano,H-003,COR,5,24
EV-02,R-024,Humano,H-003,CON,5,24
EV-02,R-025,LLM,LLM-011,COM,4,25
EV-02,R-025,LLM,LLM-011,AMB,4,25
EV-02,R-025,LLM,LLM-011,VER,4,25
EV-02,R-025,LLM,LLM-011,COR,4,25
EV-02,R-025,LLM,LLM-011,CON,4,25
EV-02,R-026,Humano,H-016,COM,5,26
EV-02,R-026,Humano,H-016,AMB,5,26
EV-02,R-026,Humano,H-016,VER,5,26
EV-02,R-026,Humano,H-016,COR,5,26
EV-02,R-026,Humano,H-016,CON,5,26
EV-02,R-027,LLM,LLM-010,COM,4,27
EV-02,R-027,LLM,LLM-010,AMB,4,27
EV-02,R-027,LLM,LLM-010,VER,4,27
EV-02,R-027,LLM,LLM-010,COR,4,27
EV-02,R-027,LLM,LLM-010,CON,4,27
EV-02,R-028,Humano,H-017,COM,5,28
EV-02,R-028,Humano,H-017,AMB,5,28
EV-02,R-028,Humano,H-017,VER,5,28
EV-02,R-028,Humano,H-017,COR,5,28
EV-02,R-028,Humano,H-017,CON,5,28
EV-02,R-029,Humano,H-015,COM,4,29
EV-02,R-029,Humano,H-015,AMB,4,29
EV-02,R-029,Humano,H-015,VER,4,29
EV-02,R-029,Humano,H-015,COR,4,29
EV-02,R-029,Humano,H-015,CON,4,29
EV-02,R-030,LLM,LLM-020,COM,5,30
EV-02,R-030,LLM,LLM-020,AMB,5,30
EV-02,R-030,LLM,LLM-020,VER,5,30
EV-02,R-030,LLM,LLM-020,COR,5,30
EV-02,R-030,LLM,LLM-020,CON,5,30
EV-02,R-031,LLM,LLM-001,COM,4,31
EV-02,R-031,LLM,LLM-001,AMB,4,31
EV-02,R-031,LLM,LLM-001,VER,4,31
EV-02,R-031,LLM,LLM-001,COR,4,31
EV-02,R-031,LLM,LLM-001,CON,4,31
EV-02,R-032,LLM,LLM-018,COM,5,32
EV-02,R-032,LLM,LLM-018,AMB,5,32
EV-02,R-032,LLM,LLM-018,VER,5,32
EV-02,R-032,LLM,LLM-018,COR,5,32
EV-02,R-032,LLM,LLM-018,CON,5,32
EV-02,R-033,Humano,H-022,COM,4,33
EV-02,R-033,Humano,H-022,AMB,4,33
EV-02,R-033,Humano,H-022,VER,4,33
EV-02,R-033,Humano,H-022,COR,4,33
EV-02,R-033,Humano,H-022,CON,4,33
EV-02,R-034,Humano,H-005,COM,5,34
EV-02,R-034,Humano,H-005,AMB,5,34
EV-02,R-034,Humano,H-005,VER,5,34
EV-02,R-034,Humano,H-005,COR,5,34
EV-02,R-034,Humano,H-005,CON,5,34
EV-02,R-035,LLM,LLM-025,COM,4,35
EV-02,R-035,LLM,LLM-025,AMB,4,35
EV-02,R-035,LLM,LLM-025,VER,4,35
EV-02,R-035,LLM,LLM-025,COR,4,35
EV-02,R-035,LLM,LLM-025,CON,4,35
EV-02,R-036,LLM,LLM-004,COM,5,36
EV-02,R-036,LLM,LLM-004,AMB,5,36
EV-02,R-036,LLM,LLM-004,VER,5,36
EV-02,R-036,LLM,LLM-004,COR,5,36
EV-02,R-036,LLM,LLM-004,CON,5,36
EV-02,R-037,LLM,LLM-007,COM,4,37
EV-02,R-037,LLM,LLM-007,AMB,4,37
EV-02,R-037,LLM,LLM-007,VER,4,37
EV-02,R-037,LLM,LLM-007,COR,4,37
EV-02,R-037,LLM,LLM-007,CON,4,37
EV-02,R-038,LLM,LLM-024,COM,5,38
EV-02,R-038,LLM,LLM-024,AMB,5,38
EV-02,R-038,LLM,LLM-024,VER,5,38
EV-02,R-038,LLM,LLM-024,COR,5,38
EV-02,R-038,LLM,LLM-024,CON,5,38
EV-02,R-039,Humano,H-013,COM,4,39
EV-02,R-039,Humano,H-013,AMB,4,39
EV-02,R-039,Humano,H-013,VER,4,39
EV-02,R-039,Humano,H-013,COR,4,39
EV-02,R-039,Humano,H-013,CON,4,39
EV-02,R-040,Humano,H-006,COM,5,40
EV-02,R-040,Humano,H-006,AMB,5,40
EV-02,R-040,Humano,H-006,VER,5,40
EV-02,R-040,Humano,H-006,COR,5,40
EV-02,R-040,Humano,H-006,CON,5,40
EV-02,R-041,LLM,LLM-006,COM,4,41
EV-02,R-041,LLM,LLM-006,AMB,4,41
EV-02,R-041,LLM,LLM-006,VER,4,41
EV-02,R-041,LLM,LLM-006,COR,4,41
EV-02,R-041,LLM,LLM-006,CON,4,41
EV-02,R-042,LLM,LLM-014,COM,5,42
EV-02,R-042,LLM,LLM-014,AMB,5,42
EV-02,R-042,LLM,LLM-014,VER,5,42
EV-02,R-042,LLM,LLM-014,COR,5,42
EV-02,R-042,LLM,LLM-014,CON,5,42
EV-02,R-043,LLM,LLM-012,COM,4,43
EV-02,R-043,LLM,LLM-012,AMB,4,43
EV-02,R-043,LLM,LLM-012,VER,4,43
EV-02,R-043,LLM,LLM-012,COR,4,43
EV-02,R-043,LLM,LLM-012,CON,4,43
EV-02,R-044,LLM,LLM-015,COM,5,44
EV-02,R-044,LLM,LLM-015,AMB,5,44
EV-02,R-044,LLM,LLM-015,VER,5,44
EV-02,R-044,LLM,LLM-015,COR,5,44
EV-02,R-044,LLM,LLM-015,CON,5,44
EV-02,R-045,Humano,H-002,COM,4,45
EV-02,R-045,Humano,H-002,AMB,4,45
EV-02,R-045,Humano,H-002,VER,4,45
EV-02,R-045,Humano,H-002,COR,4,45
EV-02,R-045,Humano,H-002,CON,4,45
EV-02,R-046,Humano,H-008,COM,5,46
EV-02,R-046,Humano,H-008,AMB,5,46
EV-02,R-046,Humano,H-008,VER,5,46
EV-02,R-046,Humano,H-008,COR,5,46
EV-02,R-046,Humano,H-008,CON,5,46
EV-02,R-047,Humano,H-014,COM,4,47
EV-02,R-047,Humano,H-014,AMB,4,47
EV-02,R-047,Humano,H-014,VER,4,47
EV-02,R-047,Humano,H-014,COR,4,47
EV-02,R-047,Humano,H-014,CON,4,47
EV-02,R-048,LLM,LLM-003,COM,5,48
EV-02,R-048,LLM,LLM-003,AMB,5,48
EV-02,R-048,LLM,LLM-003,VER,5,48
EV-02,R-048,LLM,LLM-003,COR,5,48
EV-02,R-048,LLM,LLM-003,CON,5,48
EV-02,R-049,LLM,LLM-019,COM,4,49
EV-02,R-049,LLM,LLM-019,AMB,4,49
EV-02,R-049,LLM,LLM-019,VER,4,49
EV-02,R-049,LLM,LLM-019,COR,4,49
EV-02,R-049,LLM,LLM-019,CON,4,49
EV-02,R-050,Humano,H-004,COM,5,50
EV-02,R-050,Humano,H-004,AMB,5,50
EV-02,R-050,Humano,H-004,VER,5,50
EV-02,R-050,Humano,H-004,COR,5,50
EV-02,R-050,Humano,H-004,CON,5,50
EV-03,R-001,LLM,LLM-017,COM,4,1
EV-03,R-001,LLM,LLM-017,AMB,4,1
EV-03,R-001,LLM,LLM-017,VER,3,1
EV-03,R-001,LLM,LLM-017,COR,4,1
EV-03,R-001,LLM,LLM-017,CON,4,1
EV-03,R-002,Humano,H-007,COM,5,2
EV-03,R-002,Humano,H-007,AMB,5,2
EV-03,R-002,Humano,H-007,VER,4,2
EV-03,R-002,Humano,H-007,COR,5,2
EV-03,R-002,Humano,H-007,CON,5,2
EV-03,R-003,Humano,H-010,COM,4,3
EV-03,R-003,Humano,H-010,AMB,3,3
EV-03,R-003,Humano,H-010,VER,3,3
EV-03,R-003,Humano,H-010,COR,4,3
EV-03,R-003,Humano,H-010,CON,4,3
EV-03,R-004,Humano,H-009,COM,5,4
EV-03,R-004,Humano,H-009,AMB,5,4
EV-03,R-004,Humano,H-009,VER,5,4
EV-03,R-004,Humano,H-009,COR,5,4
EV-03,R-004,Humano,H-009,CON,5,4
EV-03,R-005,Humano,H-001,COM,4,5
EV-03,R-005,Humano,H-001,AMB,4,5
EV-03,R-005,Humano,H-001,VER,4,5
EV-03,R-005,Humano,H-001,COR,4,5
EV-03,R-005,Humano,H-001,CON,4,5
EV-03,R-006,LLM,LLM-023,COM,5,6
EV-03,R-006,LLM,LLM-023,AMB,5,6
EV-03,R-006,LLM,LLM-023,VER,5,6
EV-03,R-006,LLM,LLM-023,COR,5,6
EV-03,R-006,LLM,LLM-023,CON,5,6
EV-03,R-007,Humano,H-021,COM,4,7
EV-03,R-007,Humano,H-021,AMB,4,7
EV-03,R-007,Humano,H-021,VER,4,7
EV-03,R-007,Humano,H-021,COR,4,7
EV-03,R-007,Humano,H-021,CON,4,7
EV-03,R-008,Humano,H-020,COM,3,8
EV-03,R-008,Humano,H-020,AMB,3,8
EV-03,R-008,Humano,H-020,VER,3,8
EV-03,R-008,Humano,H-020,COR,3,8
EV-03,R-008,Humano,H-020,CON,3,8
EV-03,R-009,LLM,LLM-016,COM,5,9
EV-03,R-009,LLM,LLM-016,AMB,5,9
EV-03,R-009,LLM,LLM-016,VER,5,9
EV-03,R-009,LLM,LLM-016,COR,5,9
EV-03,R-009,LLM,LLM-016,CON,5,9
EV-03,R-010,LLM,LLM-005,COM,4,10
EV-03,R-010,LLM,LLM-005,AMB,4,10
EV-03,R-010,LLM,LLM-005,VER,4,10
EV-03,R-010,LLM,LLM-005,COR,4,10
EV-03,R-010,LLM,LLM-005,CON,4,10
EV-03,R-011,Humano,H-025,COM,5,11
EV-03,R-011,Humano,H-025,AMB,5,11
EV-03,R-011,Humano,H-025,VER,5,11
