ID,¿Qué labor realiza principalmente?,¿Cuántos años de experiencia tiene en el cultivo de palma? ,¿Cómo se registra hoy lo que usted realiza en el día?,¿Cuál es la mayor dificultad en su trabajo diario?,¿Con qué frecuencia observa plagas o enfermedades en las palmas? ,¿Usa teléfono inteligente (smartphone)?,¿Qué tan cómodo se siente usando aplicaciones en el teléfono? (escala 1 a 5) 1 = Nada cómodo  →  5 = Muy cómodo,¿Hay señal de internet en las zonas donde usted trabaja?,"Para cada función, indique qué tan útil le parecería en una escala de 1 a 5 (1 = Nada útil → 5 = Muy útil). Tomar una foto de la palma y que la app le indique si tiene una plaga o enfermedad y qué...",Indique qué tan útil le parecería en una escala de 1 a 5 (1 = Nada útil → 5 = Muy útil). Tomar una foto de la hoja y que la app le indique si a la planta le falta algún nutriente. ,"Para cada función, indique qué tan útil le parecería en una escala de 1 a 5. Registrar en el teléfono las labores que realiza (riego, polinización, etc.)","Indique qué tan útil le parecería en una escala de 1 a 5 (1 = Nada útil → 5 = Muy útil). Que la app cuente automáticamente por GPS las flores polinizadas, sin tener que anotar planta por planta. ",Indique qué tan útil le parecería en una escala de 1 a 5 (1 = Nada útil → 5 = Muy útil). Recibir alertas cuando se detecte un problema en el cultivo, ¿Le preocuparía que la aplicación registre por GPS su recorrido durante la jornada? ,"Si la aplicación fuera fácil de usar y estuviera en español, ¿la usaría en su trabajo?"
47,Riego,De 1 a 5 años,En papel,Saber qué producto aplicar;,A veces,si, 5,Casi nunca,5,5,5,5,5,No me preocupa,Sí
48,Control fitosanitario (plagas y enfermedades),De 6 a 10 años,En papel,Detectar plagas o enfermedades a tiempo;,Frecuentemente,si, 5,A veces,4,5,3,3,5,No me preocupa,Sí
49,Riego,De 1 a 5 años,El administrador lo anota,El clima;,Rara vez,si, 5,A veces,4,4,4,4,4,No me preocupa,Sí
50,"Labores de mantenimiento (chapía, corona, poda)",De 6 a 10 años,El administrador lo anota,Detectar plagas o enfermedades a tiempo;Saber qué producto aplicar;,A veces,si, 5,A veces,4,4,4,4,4,Me preocupa un poco,Sí
51,Riego,Menos de 1 año,En papel,El clima;,A veces,si, 5,A veces,4,3,5,4,5,No me preocupa,Sí
52,"Labores de mantenimiento (chapía, corona, poda)",Menos de 1 año,En papel,Llevar la cuenta de lo que realizo;,Frecuentemente,si,3,Casi nunca,5,5,5,5,5,No me preocupa,Sí
53,Polinización,De 6 a 10 años,El administrador lo anota,Detectar plagas o enfermedades a tiempo;Llevar la cuenta de lo que realizo;,A veces,si,4,A veces,5,5,5,5,5,No me preocupa,Sí
54,Control fitosanitario (plagas y enfermedades),De 6 a 10 años,En papel,Detectar plagas o enfermedades a tiempo;,Frecuentemente,si, 5,A veces,5,4,4,5,5,No me preocupa,Sí
55,Control fitosanitario (plagas y enfermedades),De 6 a 10 años,En papel,Detectar plagas o enfermedades a tiempo;,Frecuentemente,si, 5,A veces,4,3,3,4,4,No me preocupa,Sí
56,Polinización,De 6 a 10 años,No se registra,El clima;,Rara vez,si,4,A veces,4,3,3,4,5,No me preocupa,Sí
57,Control fitosanitario (plagas y enfermedades),De 6 a 10 años,El administrador lo anota,Detectar plagas o enfermedades a tiempo;Saber qué producto aplicar;,Muy frecuentemente,no,4,A veces,5,5,3,4,5,No me preocupa,Sí
58,Otra,De 1 a 5 años,El administrador lo anota,El clima;,Frecuentemente,si, 5,Casi nunca,5,5,5,5,5,No me preocupa,Sí
59,"Labores de mantenimiento (chapía, corona, poda)",De 1 a 5 años,En papel,Llevar la cuenta de lo que realizo;,Frecuentemente,si, 5,Casi nunca,5,5,5,5,5,No me preocupa,Sí
60,Control fitosanitario (plagas y enfermedades),De 6 a 10 años,En papel,Detectar plagas o enfermedades a tiempo;,Frecuentemente,si, 5,A veces,5,4,3,3,4,No me preocupa,Sí
61,Control fitosanitario (plagas y enfermedades),Más de 10 años,El administrador lo anota,Detectar plagas o enfermedades a tiempo;El clima;,Frecuentemente,si, 5,A veces,5,4,3,4,4,No me preocupa,Sí
62,Polinización,De 1 a 5 años,En papel,Saber qué producto aplicar;,Frecuentemente,si,4,Casi nunca,5,5,5,5,5,No me preocupa,Sí
