evaluador,requisito,dimension,puntuacion,orden
EV-01,R-039,COR,4,39
EV-01,R-039,CON,4,39
EV-01,R-040,COM,5,40
EV-01,R-040,AMB,5,40
EV-01,R-040,VER,5,40
EV-01,R-040,COR,5,40
EV-01,R-040,CON,5,40
EV-01,R-041,COM,4,41
EV-01,R-041,AMB,4,41
EV-01,R-041,VER,4,41
EV-01,R-041,COR,4,41
EV-01,R-041,CON,4,41
EV-01,R-042,COM,3,42
EV-01,R-042,AMB,3,42
EV-01,R-042,VER,3,42
EV-01,R-042,COR,3,42
EV-01,R-042,CON,3,42
EV-01,R-043,COM,5,43
EV-01,R-043,AMB,5,43
EV-01,R-043,VER,5,43
EV-01,R-043,COR,5,43
EV-01,R-043,CON,5,43
EV-01,R-044,COM,4,44
EV-01,R-044,AMB,4,44
EV-01,R-044,VER,4,44
EV-01,R-044,COR,4,44
EV-01,R-044,CON,4,44
EV-01,R-045,COM,5,45
EV-01,R-045,AMB,5,45
EV-01,R-045,VER,5,45
EV-01,R-045,COR,5,45
EV-01,R-045,CON,5,45
EV-01,R-046,COM,4,46
EV-01,R-046,AMB,4,46
EV-01,R-046,VER,4,46
EV-01,R-046,COR,4,46
EV-01,R-046,CON,4,46
EV-01,R-047,COM,3,47
EV-01,R-047,AMB,3,47
EV-01,R-047,VER,3,47
EV-01,R-047,COR,3,47
EV-01,R-047,CON,3,47
EV-01,R-048,COM,5,48
EV-01,R-048,AMB,5,48
EV-01,R-048,VER,5,48
EV-01,R-048,COR,5,48
EV-01,R-048,CON,5,48
EV-01,R-049,COM,4,49
EV-01,R-049,AMB,4,49
EV-01,R-049,VER,4,49
EV-01,R-049,COR,4,49
EV-01,R-049,CON,4,49
EV-01,R-050,COM,5,50
EV-01,R-050,AMB,5,50
EV-01,R-050,VER,5,50
EV-01,R-050,COR,5,50
EV-01,R-050,CON,5,50
EV-02,R-001,COM,5,1
EV-02,R-001,AMB,5,1
EV-02,R-001,VER,4,1
EV-02,R-001,COR,5,1
EV-02,R-001,CON,5,1
EV-02,R-002,COM,4,2
EV-02,R-002,AMB,5,2
EV-02,R-002,VER,5,2
EV-02,R-002,COR,4,2
EV-02,R-002,CON,4,2
EV-02,R-003,COM,4,3
EV-02,R-003,AMB,4,3
EV-02,R-003,VER,4,3
EV-02,R-003,COR,4,3
EV-02,R-003,CON,4,3
EV-02,R-004,COM,5,4
EV-02,R-004,AMB,5,4
EV-02,R-004,VER,5,4
EV-02,R-004,COR,5,4
EV-02,R-004,CON,5,4
EV-02,R-005,COM,4,5
EV-02,R-005,AMB,4,5
EV-02,R-005,VER,4,5
EV-02,R-005,COR,4,5
EV-02,R-005,CON,4,5
EV-02,R-006,COM,5,6
EV-02,R-006,AMB,5,6
EV-02,R-006,VER,5,6
EV-02,R-006,COR,5,6
EV-02,R-006,CON,5,6
EV-02,R-007,COM,4,7
EV-02,R-007,AMB,4,7
EV-02,R-007,VER,4,7
EV-02,R-007,COR,4,7
EV-02,R-007,CON,4,7
EV-02,R-008,COM,5,8
EV-02,R-008,AMB,5,8
EV-02,R-008,VER,5,8
EV-02,R-008,COR,5,8
EV-02,R-008,CON,5,8
EV-02,R-009,COM,4,9
EV-02,R-009,AMB,4,9
EV-02,R-009,VER,4,9
EV-02,R-009,COR,4,9
EV-02,R-009,CON,4,9
EV-02,R-010,COM,5,10
EV-02,R-010,AMB,5,10
EV-02,R-010,VER,5,10
EV-02,R-010,COR,5,10
EV-02,R-010,CON,5,10
EV-02,R-011,COM,4,11
EV-02,R-011,AMB,4,11
EV-02,R-011,VER,4,11
EV-02,R-011,COR,4,11
EV-02,R-011,CON,4,11
EV-02,R-012,COM,5,12
EV-02,R-012,AMB,5,12
EV-02,R-012,VER,5,12
EV-02,R-012,COR,5,12
EV-02,R-012,CON,5,12
EV-02,R-013,COM,4,13
EV-02,R-013,AMB,4,13
EV-02,R-013,VER,4,13
EV-02,R-013,COR,4,13
EV-02,R-013,CON,4,13
EV-02,R-014,COM,5,14
EV-02,R-014,AMB,5,14
EV-02,R-014,VER,5,14
EV-02,R-014,COR,5,14
EV-02,R-014,CON,5,14
EV-02,R-015,COM,4,15
EV-02,R-015,AMB,4,15
EV-02,R-015,VER,4,15
EV-02,R-015,COR,4,15
EV-02,R-015,CON,4,15
EV-02,R-016,COM,5,16
EV-02,R-016,AMB,5,16
EV-02,R-016,VER,5,16
EV-02,R-016,COR,5,16
EV-02,R-016,CON,5,16
EV-02,R-017,COM,4,17
EV-02,R-017,AMB,4,17
EV-02,R-017,VER,4,17
EV-02,R-017,COR,4,17
EV-02,R-017,CON,4,17
EV-02,R-018,COM,5,18
EV-02,R-018,AMB,5,18
EV-02,R-018,VER,5,18
EV-02,R-018,COR,5,18
EV-02,R-018,CON,5,18
EV-02,R-019,COM,4,19
EV-02,R-019,AMB,4,19
EV-02,R-019,VER,4,19
EV-02,R-019,COR,4,19
EV-02,R-019,CON,4,19
EV-02,R-020,COM,5,20
EV-02,R-020,AMB,5,20
EV-02,R-020,VER,5,20
EV-02,R-020,COR,5,20
EV-02,R-020,CON,5,20
EV-02,R-021,COM,4,21
EV-02,R-021,AMB,4,21
EV-02,R-021,VER,4,21
EV-02,R-021,COR,4,21
EV-02,R-021,CON,4,21
EV-02,R-022,COM,5,22
EV-02,R-022,AMB,5,22
EV-02,R-022,VER,5,22
EV-02,R-022,COR,5,22
EV-02,R-022,CON,5,22
EV-02,R-023,COM,4,23
EV-02,R-023,AMB,4,23
EV-02,R-023,VER,4,23
EV-02,R-023,COR,4,23
EV-02,R-023,CON,4,23
EV-02,R-024,COM,5,24
EV-02,R-024,AMB,5,24
EV-02,R-024,VER,5,24
EV-02,R-024,COR,5,24
EV-02,R-024,CON,5,24
EV-02,R-025,COM,4,25
EV-02,R-025,AMB,4,25
EV-02,R-025,VER,4,25
EV-02,R-025,COR,4,25
EV-02,R-025,CON,4,25
EV-02,R-026,COM,5,26
EV-02,R-026,AMB,5,26
EV-02,R-026,VER,5,26
EV-02,R-026,COR,5,26
EV-02,R-026,CON,5,26
EV-02,R-027,COM,4,27
EV-02,R-027,AMB,4,27
EV-02,R-027,VER,4,27
EV-02,R-027,COR,4,27
EV-02,R-027,CON,4,27
EV-02,R-028,COM,5,28
EV-02,R-028,AMB,5,28
EV-02,R-028,VER,5,28
EV-02,R-028,COR,5,28
EV-02,R-028,CON,5,28
EV-02,R-029,COM,4,29
EV-02,R-029,AMB,4,29
EV-02,R-029,VER,4,29
EV-02,R-029,COR,4,29
EV-02,R-029,CON,4,29
EV-02,R-030,COM,5,30
EV-02,R-030,AMB,5,30
EV-02,R-030,VER,5,30
EV-02,R-030,COR,5,30
EV-02,R-030,CON,5,30
EV-02,R-031,COM,4,31
EV-02,R-031,AMB,4,31
EV-02,R-031,VER,4,31
EV-02,R-031,COR,4,31
EV-02,R-031,CON,4,31
EV-02,R-032,COM,5,32
EV-02,R-032,AMB,5,32
EV-02,R-032,VER,5,32
EV-02,R-032,COR,5,32
EV-02,R-032,CON,5,32
EV-02,R-033,COM,4,33
EV-02,R-033,AMB,4,33
EV-02,R-033,VER,4,33
EV-02,R-033,COR,4,33
EV-02,R-033,CON,4,33
EV-02,R-034,COM,5,34
EV-02,R-034,AMB,5,34
EV-02,R-034,VER,5,34
EV-02,R-034,COR,5,34
EV-02,R-034,CON,5,34
EV-02,R-035,COM,4,35
EV-02,R-035,AMB,4,35
EV-02,R-035,VER,4,35
EV-02,R-035,COR,4,35
EV-02,R-035,CON,4,35
EV-02,R-036,COM,5,36
EV-02,R-036,AMB,5,36
EV-02,R-036,VER,5,36
EV-02,R-036,COR,5,36
EV-02,R-036,CON,5,36
EV-02,R-037,COM,4,37
EV-02,R-037,AMB,4,37
EV-02,R-037,VER,4,37
EV-02,R-037,COR,4,37
EV-02,R-037,CON,4,37
EV-02,R-038,COM,5,38
EV-02,R-038,AMB,5,38
EV-02,R-038,VER,5,38
EV-02,R-038,COR,5,38
EV-02,R-038,CON,5,38
EV-02,R-039,COM,4,39
EV-02,R-039,AMB,4,39
EV-02,R-039,VER,4,39
EV-02,R-039,COR,4,39
EV-02,R-039,CON,4,39
EV-02,R-040,COM,5,40
EV-02,R-040,AMB,5,40
EV-02,R-040,VER,5,40
EV-02,R-040,COR,5,40
EV-02,R-040,CON,5,40
EV-02,R-041,COM,4,41
EV-02,R-041,AMB,4,41
EV-02,R-041,VER,4,41
EV-02,R-041,COR,4,41
EV-02,R-041,CON,4,41
EV-02,R-042,COM,5,42
EV-02,R-042,AMB,5,42
EV-02,R-042,VER,5,42
EV-02,R-042,COR,5,42
EV-02,R-042,CON,5,42
EV-02,R-043,COM,4,43
EV-02,R-043,AMB,4,43
EV-02,R-043,VER,4,43
EV-02,R-043,COR,4,43
EV-02,R-043,CON,4,43
EV-02,R-044,COM,5,44
EV-02,R-044,AMB,5,44
EV-02,R-044,VER,5,44
EV-02,R-044,COR,5,44
EV-02,R-044,CON,5,44
EV-02,R-045,COM,4,45
EV-02,R-045,AMB,4,45
EV-02,R-045,VER,4,45
EV-02,R-045,COR,4,45
EV-02,R-045,CON,4,45
EV-02,R-046,COM,5,46
EV-02,R-046,AMB,5,46
EV-02,R-046,VER,5,46
EV-02,R-046,COR,5,46
EV-02,R-046,CON,5,46
EV-02,R-047,COM,4,47
EV-02,R-047,AMB,4,47
EV-02,R-047,VER,4,47
EV-02,R-047,COR,4,47
EV-02,R-047,CON,4,47
EV-02,R-048,COM,5,48
EV-02,R-048,AMB,5,48
EV-02,R-048,VER,5,48
EV-02,R-048,COR,5,48
EV-02,R-048,CON,5,48
EV-02,R-049,COM,4,49
EV-02,R-049,AMB,4,49
EV-02,R-049,VER,4,49
EV-02,R-049,COR,4,49
EV-02,R-049,CON,4,49
EV-02,R-050,COM,5,50
EV-02,R-050,AMB,5,50
EV-02,R-050,VER,5,50
EV-02,R-050,COR,5,50
EV-02,R-050,CON,5,50
EV-03,R-001,COM,4,1
EV-03,R-001,AMB,4,1
EV-03,R-001,VER,3,1
EV-03,R-001,COR,4,1
EV-03,R-001,CON,4,1
EV-03,R-002,COM,5,2
EV-03,R-002,AMB,5,2
EV-03,R-002,VER,4,2
EV-03,R-002,COR,5,2
EV-03,R-002,CON,5,2
EV-03,R-003,COM,4,3
EV-03,R-003,AMB,3,3
EV-03,R-003,VER,3,3
EV-03,R-003,COR,4,3
EV-03,R-003,CON,4,3
EV-03,R-004,COM,5,4
EV-03,R-004,AMB,5,4
EV-03,R-004,VER,5,4
EV-03,R-004,COR,5,4
EV-03,R-004,CON,5,4
EV-03,R-005,COM,4,5
EV-03,R-005,AMB,4,5
EV-03,R-005,VER,4,5
EV-03,R-005,COR,4,5
EV-03,R-005,CON,4,5
EV-03,R-006,COM,5,6
EV-03,R-006,AMB,5,6
EV-03,R-006,VER,5,6
EV-03,R-006,COR,5,6
EV-03,R-006,CON,5,6
EV-03,R-007,COM,4,7
EV-03,R-007,AMB,4,7
EV-03,R-007,VER,4,7
EV-03,R-007,COR,4,7
EV-03,R-007,CON,4,7
EV-03,R-008,COM,3,8
EV-03,R-008,AMB,3,8
EV-03,R-008,VER,3,8
EV-03,R-008,COR,3,8
EV-03,R-008,CON,3,8
EV-03,R-009,COM,5,9
EV-03,R-009,AMB,5,9
EV-03,R-009,VER,5,9
EV-03,R-009,COR,5,9
EV-03,R-009,CON,5,9
EV-03,R-010,COM,4,10
EV-03,R-010,AMB,4,10
EV-03,R-010,VER,4,10
EV-03,R-010,COR,4,10
EV-03,R-010,CON,4,10
EV-03,R-011,COM,5,11
EV-03,R-011,AMB,5,11
EV-03,R-011,VER,5,11
EV-03,R-011,COR,5,11
EV-03,R-011,CON,5,11
EV-03,R-012,COM,3,12
EV-03,R-012,AMB,3,12
EV-03,R-012,VER,3,12
EV-03,R-012,COR,3,12
EV-03,R-012,CON,3,12
EV-03,R-013,COM,4,13
EV-03,R-013,AMB,4,13
EV-03,R-013,VER,4,13
EV-03,R-013,COR,4,13
EV-03,R-013,CON,4,13
EV-03,R-014,COM,5,14
EV-03,R-014,AMB,5,14
EV-03,R-014,VER,5,14
EV-03,R-014,COR,5,14
EV-03,R-014,CON,5,14
EV-03,R-015,COM,4,15
EV-03,R-015,AMB,4,15
EV-03,R-015,VER,4,15
EV-03,R-015,COR,4,15
EV-03,R-015,CON,4,15
EV-03,R-016,COM,5,16
EV-03,R-016,AMB,5,16
EV-03,R-016,VER,5,16
EV-03,R-016,COR,5,16
EV-03,R-016,CON,5,16
EV-03,R-017,COM,3,17
EV-03,R-017,AMB,3,17
EV-03,R-017,VER,3,17
EV-03,R-017,COR,3,17
EV-03,R-017,CON,3,17
EV-03,R-018,COM,4,18
EV-03,R-018,AMB,4,18
EV-03,R-018,VER,4,18
EV-03,R-018,COR,4,18
EV-03,R-018,CON,4,18
EV-03,R-019,COM,5,19
EV-03,R-019,AMB,5,19
EV-03,R-019,VER,5,19
EV-03,R-019,COR,5,19
EV-03,R-019,CON,5,19
EV-03,R-020,COM,4,20
EV-03,R-020,AMB,4,20
EV-03,R-020,VER,4,20
EV-03,R-020,COR,4,20
EV-03,R-020,CON,4,20
EV-03,R-021,COM,5,21
EV-03,R-021,AMB,5,21
EV-03,R-021,VER,5,21
EV-03,R-021,COR,5,21
EV-03,R-021,CON,5,21
EV-03,R-022,COM,3,22
EV-03,R-022,AMB,3,22
EV-03,R-022,VER,3,22
EV-03,R-022,COR,3,22
EV-03,R-022,CON,3,22
EV-03,R-023,COM,4,23
EV-03,R-023,AMB,4,23
EV-03,R-023,VER,4,23
EV-03,R-023,COR,4,23
EV-03,R-023,CON,4,23
EV-03,R-024,COM,5,24
EV-03,R-024,AMB,5,24
EV-03,R-024,VER,5,24
EV-03,R-024,COR,5,24
EV-03,R-024,CON,5,24
EV-03,R-025,COM,4,25
EV-03,R-025,AMB,4,25
EV-03,R-025,VER,4,25
EV-03,R-025,COR,4,25
EV-03,R-025,CON,4,25
EV-03,R-026,COM,5,26
EV-03,R-026,AMB,5,26
EV-03,R-026,VER,5,26
EV-03,R-026,COR,5,26
EV-03,R-026,CON,5,26
EV-03,R-027,COM,3,27
EV-03,R-027,AMB,3,27
EV-03,R-027,VER,3,27
EV-03,R-027,COR,3,27
EV-03,R-027,CON,3,27
EV-03,R-028,COM,4,28
EV-03,R-028,AMB,4,28
EV-03,R-028,VER,4,28
EV-03,R-028,COR,4,28
EV-03,R-028,CON,4,28
EV-03,R-029,COM,5,29
EV-03,R-029,AMB,5,29
EV-03,R-029,VER,5,29
EV-03,R-029,COR,5,29
EV-03,R-029,CON,5,29
EV-03,R-030,COM,4,30
EV-03,R-030,AMB,4,30
EV-03,R-030,VER,4,30
EV-03,R-030,COR,4,30
EV-03,R-030,CON,4,30
EV-03,R-031,COM,5,31
EV-03,R-031,AMB,5,31
EV-03,R-031,VER,5,31
EV-03,R-031,COR,5,31
EV-03,R-031,CON,5,31
EV-03,R-032,COM,3,32
EV-03,R-032,AMB,3,32
EV-03,R-032,VER,3,32
EV-03,R-032,COR,3,32
EV-03,R-032,CON,3,32
EV-03,R-033,COM,4,33
EV-03,R-033,AMB,4,33
EV-03,R-033,VER,4,33
EV-03,R-033,COR,4,33
EV-03,R-033,CON,4,33
EV-03,R-034,COM,5,34
EV-03,R-034,AMB,5,34
EV-03,R-034,VER,5,34
EV-03,R-034,COR,5,34
EV-03,R-034,CON,5,34
EV-03,R-035,COM,4,35
EV-03,R-035,AMB,4,35
EV-03,R-035,VER,4,35
EV-03,R-035,COR,4,35
EV-03,R-035,CON,4,35
EV-03,R-036,COM,5,36
EV-03,R-036,AMB,5,36
EV-03,R-036,VER,5,36
EV-03,R-036,COR,5,36
EV-03,R-036,CON,5,36
EV-03,R-037,COM,3,37
EV-03,R-037,AMB,3,37
EV-03,R-037,VER,3,37
EV-03,R-037,COR,3,37
EV-03,R-037,CON,3,37
EV-03,R-038,COM,4,38
EV-03,R-038,AMB,4,38
EV-03,R-038,VER,4,38
EV-03,R-038,COR,4,38
EV-03,R-038,CON,4,38
EV-03,R-039,COM,5,39
EV-03,R-039,AMB,5,39
EV-03,R-039,VER,5,39
EV-03,R-039,COR,5,39
EV-03,R-039,CON,5,39
EV-03,R-040,COM,4,40
EV-03,R-040,AMB,4,40
EV-03,R-040,VER,4,40
EV-03,R-040,COR,4,40
EV-03,R-040,CON,4,40
EV-03,R-041,COM,5,41
EV-03,R-041,AMB,5,41
EV-03,R-041,VER,5,41
EV-03,R-041,COR,5,41
EV-03,R-041,CON,5,41
EV-03,R-042,COM,3,42
EV-03,R-042,AMB,3,42
EV-03,R-042,VER,3,42
EV-03,R-042,COR,3,42
EV-03,R-042,CON,3,42
EV-03,R-043,COM,4,43
EV-03,R-043,AMB,4,43
EV-03,R-043,VER,4,43
EV-03,R-043,COR,4,43
EV-03,R-043,CON,4,43
EV-03,R-044,COM,5,44
EV-03,R-044,AMB,5,44
EV-03,R-044,VER,5,44
EV-03,R-044,COR,5,44
EV-03,R-044,CON,5,44
EV-03,R-045,COM,4,45
EV-03,R-045,AMB,4,45
EV-03,R-045,VER,4,45
EV-03,R-045,COR,4,45
EV-03,R-045,CON,4,45
EV-03,R-046,COM,5,46
EV-03,R-046,AMB,5,46
EV-03,R-046,VER,5,46
EV-03,R-046,COR,5,46
EV-03,R-046,CON,5,46
EV-03,R-047,COM,3,47
EV-03,R-047,AMB,3,47
EV-03,R-047,VER,3,47
EV-03,R-047,COR,3,47
EV-03,R-047,CON,3,47
EV-03,R-048,COM,4,48
EV-03,R-048,AMB,4,48
EV-03,R-048,VER,4,48
EV-03,R-048,COR,4,48
EV-03,R-048,CON,4,48
EV-03,R-049,COM,5,49
EV-03,R-049,AMB,5,49
EV-03,R-049,VER,5,49
EV-03,R-049,COR,5,49
EV-03,R-049,CON,5,49
EV-03,R-050,COM,4,50
EV-03,R-050,AMB,4,50
EV-03,R-050,VER,4,50
EV-03,R-050,COR,4,50
EV-03,R-050,CON,4,50
