pregunta_id,pregunta,tipo_respuesta,opcion,frecuencia,n_validos,porcentaje
P11,"Para cada función, indique qué tan útil le parecería en una escala de 1 a 5. Registrar en el teléfono las labores que realiza (riego, polinización, etc.)",simple,1,1,62,1.6
P11,"Para cada función, indique qué tan útil le parecería en una escala de 1 a 5. Registrar en el teléfono las labores que realiza (riego, polinización, etc.)",simple,2,4,62,6.5
P11,"Para cada función, indique qué tan útil le parecería en una escala de 1 a 5. Registrar en el teléfono las labores que realiza (riego, polinización, etc.)",simple,3,17,62,27.4
P11,"Para cada función, indique qué tan útil le parecería en una escala de 1 a 5. Registrar en el teléfono las labores que realiza (riego, polinización, etc.)",simple,4,15,62,24.2
P11,"Para cada función, indique qué tan útil le parecería en una escala de 1 a 5. Registrar en el teléfono las labores que realiza (riego, polinización, etc.)",simple,5,25,62,40.3
P12,"Indique qué tan útil le parecería en una escala de 1 a 5 (1 = Nada útil → 5 = Muy útil). Que la app cuente automáticamente por GPS las flores polinizadas, sin tener que anotar planta por planta. ",simple,1,2,62,3.2
P12,"Indique qué tan útil le parecería en una escala de 1 a 5 (1 = Nada útil → 5 = Muy útil). Que la app cuente automáticamente por GPS las flores polinizadas, sin tener que anotar planta por planta. ",simple,2,1,62,1.6
P12,"Indique qué tan útil le parecería en una escala de 1 a 5 (1 = Nada útil → 5 = Muy útil). Que la app cuente automáticamente por GPS las flores polinizadas, sin tener que anotar planta por planta. ",simple,3,18,62,29.0
P12,"Indique qué tan útil le parecería en una escala de 1 a 5 (1 = Nada útil → 5 = Muy útil). Que la app cuente automáticamente por GPS las flores polinizadas, sin tener que anotar planta por planta. ",simple,4,19,62,30.6
P12,"Indique qué tan útil le parecería en una escala de 1 a 5 (1 = Nada útil → 5 = Muy útil). Que la app cuente automáticamente por GPS las flores polinizadas, sin tener que anotar planta por planta. ",simple,5,22,62,35.5
P13,Indique qué tan útil le parecería en una escala de 1 a 5 (1 = Nada útil → 5 = Muy útil). Recibir alertas cuando se detecte un problema en el cultivo,simple,1,1,62,1.6
P13,Indique qué tan útil le parecería en una escala de 1 a 5 (1 = Nada útil → 5 = Muy útil). Recibir alertas cuando se detecte un problema en el cultivo,simple,3,10,62,16.1
P13,Indique qué tan útil le parecería en una escala de 1 a 5 (1 = Nada útil → 5 = Muy útil). Recibir alertas cuando se detecte un problema en el cultivo,simple,4,19,62,30.6
P13,Indique qué tan útil le parecería en una escala de 1 a 5 (1 = Nada útil → 5 = Muy útil). Recibir alertas cuando se detecte un problema en el cultivo,simple,5,32,62,51.6
P14, ¿Le preocuparía que la aplicación registre por GPS su recorrido durante la jornada? ,simple,Me preocupa mucho,5,62,8.1
P14, ¿Le preocuparía que la aplicación registre por GPS su recorrido durante la jornada? ,simple,Me preocupa un poco,11,62,17.7
P14, ¿Le preocuparía que la aplicación registre por GPS su recorrido durante la jornada? ,simple,No me preocupa,46,62,74.2
P15,"Si la aplicación fuera fácil de usar y estuviera en español, ¿la usaría en su trabajo?",simple,No,2,62,3.2
P15,"Si la aplicación fuera fácil de usar y estuviera en español, ¿la usaría en su trabajo?",simple,Sí,53,62,85.5
P15,"Si la aplicación fuera fácil de usar y estuviera en español, ¿la usaría en su trabajo?",simple,Tal vez,7,62,11.3
